"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 21:28:26 ICT 2024","Thu Jul 11 21:28:33 ICT 2024","6489","webkit","filterProduct.spec.js","","","","Testing Filter Using hilo",""
"passed","Thu Jul 11 21:27:04 ICT 2024","Thu Jul 11 21:27:18 ICT 2024","14163","chromium","filterProduct.spec.js","","","","Testing Filter Using ZA",""
"passed","Thu Jul 11 21:27:57 ICT 2024","Thu Jul 11 21:28:01 ICT 2024","3894","firefox","login.spec.js","","","","Testing Password Empty",""
"passed","Thu Jul 11 21:29:07 ICT 2024","Thu Jul 11 21:29:10 ICT 2024","3293","Google Chrome","login.spec.js","","","","Testing Username & Password Empty",""
"passed","Thu Jul 11 21:28:07 ICT 2024","Thu Jul 11 21:28:29 ICT 2024","22532","webkit","e2e.spec.js","","","","@WEB Test Transaction Valid with 4 item",""
"passed","Thu Jul 11 21:27:58 ICT 2024","Thu Jul 11 21:28:00 ICT 2024","1823","firefox","login.spec.js","","","","Testing Block User",""
"passed","Thu Jul 11 21:29:09 ICT 2024","Thu Jul 11 21:29:12 ICT 2024","2613","Google Chrome","login.spec.js","","","","Testing Password Empty",""
"passed","Thu Jul 11 21:28:38 ICT 2024","Thu Jul 11 21:28:48 ICT 2024","10053","Microsoft Edge","filterProduct.spec.js","","","","Testing Filter Using AZ",""
"passed","Thu Jul 11 21:28:35 ICT 2024","Thu Jul 11 21:28:43 ICT 2024","8175","Microsoft Edge","e2e.spec.js","","","","@WEB Test Transaction Valid with 2 item",""
"passed","Thu Jul 11 21:27:04 ICT 2024","Thu Jul 11 21:27:17 ICT 2024","12347","chromium","filterProduct.spec.js","","","","Testing Filter Using lohi",""
"passed","Thu Jul 11 21:27:17 ICT 2024","Thu Jul 11 21:27:23 ICT 2024","6202","chromium","filterProduct.spec.js","","","","Testing Filter Using hilo",""
"passed","Thu Jul 11 21:28:16 ICT 2024","Thu Jul 11 21:28:29 ICT 2024","12946","webkit","filterProduct.spec.js","","","","Testing Filter Using ZA",""
"passed","Thu Jul 11 21:27:27 ICT 2024","Thu Jul 11 21:27:57 ICT 2024","29764","firefox","filterProduct.spec.js","","","","Testing Filter Using ZA",""
"passed","Thu Jul 11 21:28:45 ICT 2024","Thu Jul 11 21:28:54 ICT 2024","8822","Microsoft Edge","login.spec.js","","","","Testing Username & Password Empty",""
"passed","Thu Jul 11 21:27:21 ICT 2024","Thu Jul 11 21:27:25 ICT 2024","3577","chromium","login.spec.js","","","","Testing Password Empty",""
